Cluster ‐ 1,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
318,Pragati Maidan,KaramPura Tml,"1. Pragati Maidan 2. Ito(Agcr) 3. Mandi House 4. N.D.Rly Stn.5. Ps Pahar Ganj 6. D.P.Gupta Mkt  7. Radha Swami
Satsang 8. W.Patel Ngr 9. Karam Pura (T)",0,17.7,15,9,6,3
320,Kend.Terminal,Shahdara,"1.  Kend.Terminal  2.  Krishi  Bhawan  3.Mandi  House  4.  Ito(Agcr)  5.  Rainy  Well  6.  Shakarpur  7.  Jagatpuri  A‐Block8.
Swarn Talkies 9. Shahdara",6,16.7,12,11,7,4
325,Karol Bagh (T),Mayur Vihar Phase-II,"1. Karol Bagh (T) 2. Ps Pahar Ganj 3. Ajmeri Gate 4. Mandi House 5. Ito(Agcr) 6. Rainy Well 7. Mother Dairy8. Vinod
Ngr 9. Mayur Vihar Phase‐Ii",0,12.8,15,7,4,3
328,Mayur Vihar Ph- II,Karol Bagh (T),"1. Karol Bagh 2. Chittra Gupta Road 3. Shivaji Std.. Mandi House 5. I.T.O. Agcr 6. Rainy Well 7. Mother Dairy 8. 13‐
Blk Trilok Puri 9. Mayur Vihar‐Ii",0,18.6,15,10,6,4
340,Kend.Terminal,New Seema Puri,"1. Kend.Terminal 2. Regal 3. Mandi House 4. Ito(Agcr)5. Rainy Well 6. Shakar Pur 7.Jagat Puri 8. Ps Vivek Vihar9.
Vivek Vihar 10. Surya Ngr 11. New Seema Puri",14,15.1,10,12,7,5
349,Kend.Terminal,Mayur Vihar Phase-II,"1. Kend.Terminal 2. Regal 3. Mandi House 4. Ito(Agcr)5. Rainy Well 6. Mother Dairy 7. Vinod Nagar 8. Mayur Vihar
Phase‐Ii",4,12.3,15,7,4,3
370,Nand nagri (T),Kend. (T),"1. Kend Terml. 2. Regal 3. Viveka Nand Marg 4. Delhi Gate5. Shanti Van 6. Yamuna Vbridge East 7. Seelam Pur 8.
Babar Pur Extn 9. Jyoti Cly 10. Nand Nagri Terminal.",0,18.6,15,10,6,4
378,Kend.Terminal,Mayur Vihar Phase-III,"1. Kend.Terminal 2. Regal 3. Mandi House 4. Ito(Agcr)5. Rainy Well 6. Mother Dairy 7. 13‐Blk Trilok Puri8. Kalyan
Puri 9. New Kondli 10. Mayur Vihar Ph.Iii",5,18.9,15,10,6,4
391,Kend.Terminal,Kalyan Puri,"1. Kend.Terminal 2. Krishi Bhawan 3. Mandi House 4. Ito(Agcr) 5. Rainy Well 6. Mother Dairy 7. Vinod Ngr 8. Kalyan
Puri",5,19.9,15,11,6,5
394,Noida sec-49,Statesman,"1.  Statesman  2.  Mandihouse  3.I.T.O.Agcr  4.  Rainy  well  5  .  Mother  Dairy  6.  Pusta  crossing  7.  Mayurvihar  ph‐I
crossing 8. Naya Bans 9. Staff qtr. 10. Kailash hospital Noida sec‐37 12. Noida sec‐36 13. Noida sec 41/50 14. Noida sec‐49",1,24,15,13,8,5
630,Kendriya Trml.,Nanak Pura,1. Kend. (T)  2. Krishi Bhawan  3. Teen Murti4. Ussr Embassy  5. Moti Bagh‐I  6. Nanak Pura/Cc,0,11.5,15,6,4,2
680,Kend.Terminal,"AN Sect-4 (Virat
Cinema)","1. Kend (T) 2.  Kr. Bhawan 3. Teen Murti 4. USSR Embassy 5. Moti Bagh 6. RK Puram-1 7. JNU 8. Qutab Enclave 9. PTS 10.
Saket Mkt 11.  AN (T) 12. AN Sect-4 (Virat Cinema)",21,23.6,5,38,23,15
859,Shivaji Stadium,"Rajouri
Garden Extnesion",1   Shivaji Std   2   Mandir Marg 3   A  S   Road 4   Tele Exchange 5   W   Patel Ngr 6   Moti Ngr 7   Raja Garden 8   R Garden Ext,0,12.2,15,7,4,3
950,Mangolpur Q- BLK,Kend   (T),1    Kend    (T)   2    Regal   3    Shivaji  Std     4    Mandir  Marg5    Jhandewalan   6    D   B   Gupta  Mkt     7    Sarai  Rohila8 Zakhira  9   P   Bagh (T) 10   Madi Pur Jj Cly   11   Peera Garhi 12   Mangol Puri D‐Block  13   Mangol Puri Q Blk,1,22.5,15,12,7,5
951,"Kamla Market/Ajmeri
Gate",WEST ENCLAVE,1   Kamla Mkt   2   N  D  Rly  Stn  Gate No  1 3   P  S  Pahar Ganj4   D  B  Gupta Mkt   5   Sarai Rohilla 6   Zakhira   P Bagh (T) 8   Mohindra Park 9   Kesav Maha Vidylia 10   West Enclave,7,12.3,12,8,5,3
957,Shivaji Stadium,Budh Vihar Phase-II,"1    Shivaji  Stadium  2    Chitra  Gupta  Rd    3    P   S   Pahar  Ganj4    D   B   Gupta  Mkt    5    Sarai Rohilla  6    Zakhira  7    P Bagh (T) 8   Mohindara Park 9   Jd‐Blk Pitam Pura 10   C‐Blk  Saraswati Vihar 11   3,4,5,6 Rohini Xing 12   Mangol Pur
Khurd 13   Budh Vihar Ph‐Ii",26,15.4,5,25,15,10
962,Kend  Terminal,Kanjhawala Village,"1  Kend Trml   2   Dr  Rml Hosp   3   Mandir Marg  4   Sadhuwasvani Mg   5   Tele  Exchange 6   W  P  Nagar7   Karam Pura  8    P   B   (T)  9    Madi  Pur  Jj  Cly  10    Peera  Garhi  12   Mangol  Pur  Khurd  13   Pooth  Kalan14    Begum  Pur  15
Karala 16   Kanjhawala",0,30,15,16,10,6
966,Nizamuddin  Rly Station,Nangloi        JJ Colony,"1    Nizamuddin  Rly   Stn    2    P   S   Nizamuddin  3    Golf  Club/Under  Ngr    4    Baroda  House  5  Shivaji  Stadium  6 Mandir Marg 7   Jhandewalan 8   D  B  Gupta Rd 9   Sarai Rohilla 10   Zakhira 11   P  Bagh (T)12   Madi Pur Jj Cly   13
Peera Garhi 14   Jawala Puri 15   Nangloi",10,28.3,12,19,11,8
975,Kend Term,"Rohini Sec-11
Extn SLF","1. Kend (T) 2. Ridge Rd 3. Shankar Rd 4. WP Ngr 5. KPura (T) 6. PB (T) 7. Mahindra Park 8. JD Block Pritampura
9. Rohini Sec 7, 8 & 9 Xing10. Rohini Sec-6 11. 11 SLF Flats",0,21.5,15,11,7,4
980,Kend  Terminal,Nangloi JJ Colony,"1   Kend  Terml  2   Ridge Rdxing   3   Shankar Rd  4 W  Patel Ngr  5   Karam Pura(T)  6   P  Bagh  (T) 7 Madipur Jj Cly
8   Peera Garhi  9   Jwala Puri  10   Nangloi Jj Colony",9,15.2,12,10,6,4
226,Bapu Dham (Dhau,Nand Nagri T,"1. Nand Nagri 2. Mandoli Xing 3. C‐4 Yamuna Vihar 4. Bhajan Pura 5. Gamri Extn. Pusta No‐5 6. New Usman Pur Pusta‐I 7. Shyam Giri Mandir 8. Isbt 9. Ice Factory 10. Ggs Marg Xing 11. Rabindra R. Shala 12. R.‐Blk Rajinder Ngr
13. Budh Jyanti Park 14. Dhaula Kuan (Bapu Dham).",0,28.8,15,15,9,6
241,Shivaji Stadium,Nand Nagri (T),"1. Shiavji Stadium 2. Mandi House 3. Delhi Gate 4. Red Fort 5. Isbt 6. Shyam Giri Mandir 7. Seelam Pur 8. Babar Pur
Extn. 9. Jyoti Cly 10. Nand Nagri Terminal.",0,18.7,15,10,6,4
251,Anand Parbat,Dilshad Garden,"1.V Anand Parbat 2. Db Gupta Mkt 3. Gg Singh Marg 4. Ice Factory 5. Isbt 6. Shyam Giri Mandir 7. New Usman Pur (Pusta ‐I)8. Gamri Ex (Pusta No‐5) 9. Bhajan Pura 10. C‐4 Yamuna Vihar 11. Babar Pur Extn. 12. Jyoti Cly 13. Gtb
Hospital 14. Dilshad Garden.",0,23.4,15,12,7,5
784,Kamla Mkt,"Yamuna Vihar
(T)","Kamla Mkt, Delhi Gate, Red Fort, ISBT, Shyamgiri Mandir, Seelam-pur, Babarpur Extn, Yamuna Vihar (T)",6,17.1,12,11,7,4
245,Kamla Market,Indra Puri (Loni),"1. Kamla Mkt 2. Delhi Gate 3. Red Fort 4. Isbt 5. Shyam Giri Mandir 6. Seelam Pur 7. Jyoti Ngr 8. Babar Pur Extn 9.
Johri Pur Xing 10. Ps Indira Puri 11. Indira Puri Loni.",0,19.5,15,10,6,4
255,Kend.Terminal,Sabhapur Village,1. Kend Terml 2. Palika Kend 3. Mandi House 4. Delhi Gate 5. Red Fort 6. Isbt 7. Shyam Giri Mandir 8.New Usman Pur Pusta No‐I 9. Gamri Extn. Pusta No.‐5 10. Govt Model School 11.B Karawal Ngr 12. Sabha Pur Village.,0,23.3,15,12,7,5
351,Anand Parbat,Gazipur Dairy Farm,1. Anand Parbat 2. D.B.Gupta Mkt 3. Ps Pahar Ganj 4. New Dly.Rly.Stn 5. Mandi House 6. Ito(Agcr) 7. Rainy Well 8. Mother Dairy 9. 13‐Blk.Trilok Puri 10. Kalyan Puri 11. National High Way Xing12. Gaji Pur Dairy Farm,4,19.3,15,10,6,4
343,Anand Parbat,"Anand Vihar
ISBT","1. Anand Parbat 2. DBG Mkt 3. PS Pganj 4. ND Rly Stn 5. Mandi House 6. ITO AGCR 7. Rainy Well 8. Shakapur 9.
Hargovind Enclave 10. Anand Vihar 11. Ram Prastha 12. Anand Vihar ISBT",0,18.8,15,10,6,4
343stl,Anand Parbat,"Anand Vihar
ISBT","1. Anand Parbat 2. DB Gupta Mkt 3. PS Paharganj 4. Aj Gate 5. Delhi Gate 6. ITO Ring Rd 7. Rainy Well 8. Mother
Dairy 9. Balco Apptt10. HP Depot 11. Anand Vihar ISBT",0,18,15,10,6,4
207,BhajanPura,Nanak Pura,"1. Bhajan Pura 2. Gamri Ext. (Pusta No‐5) 3. New Usman Pur  Pusta No‐1 4. Shyam Giri Mandir 5. Isbt 6. Ice Factory
7.  Rani  Jhansi  Rd.  8  Mandir  Marg  9.Rml  Hospital  10.  Kend.  T.  11.  Talkatora  Grd.  12.Bharat  Sadhu  Samaj.  13  Dh Kuan 14 Nanak Pura",0,25.3,15,13,8,5
256,Railway Station,Karawal Nagar,"1. Rly Station 2. Isbt 3. Shyam Giri Mandir 4.New Usman Pur Pusta No‐I 5. Gamri Extn. Pusta No.‐5 6.Bhajan Pura 7.
Dayal Pur 8. Karawal Ngr.",0,14,15,7,4,3
217,BMD Chowk,Gokul Puri,1. Bmd Chowk 2. Isbt 3. Shyam Giri Mandir 4. Seelam Pur 5. Babar Pur Extn 6. Jyoti Ngr 7. Gokul Puri.,1,12.4,15,7,4,3
359,Shivaji Stadium,Vasundhra Enclave,"1.Shivaji  Stadium  2.  Mandi  House  3.  Ito(Agcr)  4.  Rainy  Well  5.  Mother  Dairy  6.13‐Blk  Trilok  Puri  7.  Vasundhra
Enclave Play Ground.",0,19,15,10,6,4
156,Nizamuddin      - Railway Station,Ashok      vihar Ph.-ii,"1. Nizamuddin Rly. Station 2. Ps Nizamuddin 3. Golf Club 4. India Gate/ Baroda House 5. Krishi Bhawan 6. Palika
Kendra  7. Shivaji Stadium  8. Chittra Gupta  Rd  9. Db  Gupta  Mkt 10. Subhdara  Cly 11. Bharat  Ngr  Xing  12. Ashok Vihar Ph‐I 13. Ashok Vihar‐Ii.",0,22.5,15,12,7,5
944,Kend  Terminal,Sultan Puri,"1   Kend Terminal 2   Ridge Rd   3   Shankar Rd  4   W  Patel Ngr   5   Karam Pura (T) 6   P  B  Terminal7   Madi Pur Jj
Cly   8   Peera Garhi 9   B‐Blk  Mangol Puri 10   Q‐Blk  Mangol Puri 11   Sultan Puri",9,22,12,15,9,6
390,Kend. Trml.,Mayur Vihar Ph-1 Terminal,1.  Kend  Terminal  2.  Regal  3.  Mandi  House  4.  Ito  Agcr  5.  Rainy  Well  6.  Shaker  Pur  7.  H.P.  Depot  8.  Nhw  Xing  9. Vinod Ngr 10. Kalyan Puri 11. 13‐Blk Trilok Puri 12. Mayur Vihar Ph‐1 Terminal,0,22,15,12,7,5
309,Anand parbat,Kalyan puri,"1.  Anand  Parvat  2.  D.B.Gupta  Mkt  3.  P.S.Pahar  Ganj  4.  Ajmeri  Gate  5.  Govt.  Press  6.  Ito  Agcr  7.  Rainy  Well  8.
Mother Dairy 9. 13‐Blk Trilok Puri 10. Kalyan Puri.",17,19.6,10,16,9,7
380,Kend.Terminal,"DDA Flats
Man-sarovar Park","1. Kend.Terminal 2. Regal 3. Vivekanand Marg 4. Delhi Gate5. Red Fort 6. Isbt  7. Shyam Giri Mandir 8. Seelam Pur
9. Babarpur Extn 10. Jyoti Colony 11. Mansarovar Park Dda Flats",0,15.2,15,8,5,3
,,,Total Buses,163,,,510,311,199
Cluster ‐ 4,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
3,Pragati Maidan,Shalimar Bagh,"1. Pragati Maidan 2. Ito Agcr 3. Delhi Gate 4. Ajmere Gate 5. P.S. Pahar Ganj 6. Db Gupta Mkt. 7. Sarai Rohilla. 8. Gulabi Bagh 9. Bharat Ngr. Xing 10. Ashok Vihar W/Tank 11. Ashok Vihar Xing 12. Ae Blk. Shalimar Bagh 13. Bh‐Blk.
Shalimar Bagh.",1,21.9,15,12,7,5
19,Jahangir Puri E- Block,Shivaji Stadium,"1. Shivaji Stadium 2. Nd Rly. Station Gate‐I 3. P.S.Pahar Ganj 4. Ice Factory 5. Clock Tower 6. Rp Bagh 7. Bara Bagh
8. Adarsh Ngr. 9. Jahangir Puri E‐Blk.",17,16.8,10,13,8,5
26,G.T.B.Nagar,Sewa Nagar Railway Xing,"1. Gtb Ngr 2. Ins Hostel 3. Timar Pur 4. Old Sectt. 5. Isbt 6. Red Fort 7. Delhi Gate 8. Supreme Court 9. Shahjahan
Rd 10. Bharti Ngr 11. Lodhi Cly 12. Sewa Ngr Rly Xing.",8,19.8,12,13,8,5
39,Jheel,Tri Nagar/JM Mkt,"1. Jheel 2. Khureji 3. Shaker Pur 4. Rainy Well 5. Ito Agcr 6. Delhi Gate 7. Ajmeri Gate 8. Ps Pahar Ganj 9. Db Gupta
Mkt 10. Sarai Rohilla 11. E‐Blk Shastri Ngr 12. B‐3 Keshav Puram 13. Tri Ngr Jai Mata Mkt.",31,23.9,5,38,23,15
62,Kamla Market,Shahbad Dairy,"1. Kamla Mkt. 2. Delhi Gate 3. Red Fort 4. Isbt 5. Ice Factory 6. Clock Tower 7. R.P. Bagh8.Bara Bagh 9. Adarsh Ngr.
10. Gtk Depot 11. Badli Rly. Station 12. Shahbad Daulat Pur 13. Shahbad Dairy.",2,15,15,8,5,3
89,"Trinagar J Mata
Mkt",SN Depot,"1. Trinagar J Mata Mkt 2. B-3 Keshav-puram 3. Shastri Ngr E Block 4. Sarai Rohilla 5. AS Rd 6. Mandir Marg 7.
Regal8.  Kr. Bhawan 9. Tughlak Rd 10. SJ Airport 11. INA Mkt 12. SN Depot",1,24,15,13,8,5
105,I.S.B.T.,"Burari Village./
Mukhmel Pur","1. Isbt 2. Old Sectt 3. Gtb Ngr 4. Nirankari Cly 5. Jharoda Dairy Xing 6. Burari Village 7. Loniyan Ind. 8. Ibrahim Pur
9. Hiranki 10. Mukhmel Pur",0,18.5,15,10,6,4
150,Kalyanpuri,Jahangir Puri,1. Jahangir Puri 2. Adarsh Ngr 3. Bara Bagh 4. Rp Bagh 5. Clock Tower 6. Ice Factory 7. Isbt 8. Jamuna Bzr. 9. Shanti Van 10. Delhi Gate 11. Ito Agcr 12. Rainy Well 13. Mother Dairy 14. 13‐Blk Trilok Puri 15. Kalyan Puri.,1,30,15,16,10,6
159,Inder Puri,Jahangir Puri,"1. Inder Puri 2. Loha Mandi 3. Sp Depot 4. Karam Pura 5. P.B.Terminal 6. W.P.Depot‐I 7. Ashok Vihar Xing 8. Adarsh
Ngr 9. Jahangir Puri E‐Blk.",16,14.6,10,12,7,5
166,Palika Kendra,Sahlimar Bagh BH - Block,1. Palika Kend. 2. N.D Rly Station 3. P.S. Pahar Ganj. 4. D.B. Gupta Mkt 5. Sarai Rohilla  6. Gulabi Bagh 7. Bharat Ngr Xing 8. Ashok Vihar Water Tank. 9. Ashok Vihar Xing 10. AE‐ Blk Shalimar Bagh 11. Bh‐ Block Shali Mar Bagh,18,17.2,10,14,8,6
168,Hauz Khas Terminal,Ashok Vihar Phase-II,"1.  Hauz  Khas  (T)  2.  Sj  Hospital  3.  Sj  Air  Port  4.  Ps  Tughlak  Rd  5.  Krishi  Bhawan  6.  Kend  Terml.  7.  Ridge  Road  8. Shanker  Road  9.  Wp  Ngr  10.  Karam  Pura  (T)  11.  P.Bagh  Terml.12.  A‐I  Keshav  Puram  13.  B‐3  Keshav  Puram  14.
Ashok Vihar‐I 15. Ashok Vihar Ph‐Ii.",0,29.9,15,16,10,6
192,I.S.B.T.,Nathu Pura,1. Isbt 2. Old Sectt 3. Gtb Ngr 4. Nirankari Cly 5. Jharoda Dairy Xing 6. Burari 7. Kusak Enclave 8. Nathu Pura.,6,14.5,12,10,6,4
218,Indira Puri (Loni),Hari Nagar Clock Tower,"Indira Puri Loni 2. Ps Indira Puri 3. Johari Pur Xing 4. Jyoti Ngr 5. Babar Pur Extn 6. Seelam Pur 7. Shyam Giri Mandir
8. Isbt 9. Ice Factory 10. Ggs Marg Xing 11. Db Gupta Mkt 12. R.S. Satsang 13. West Patel Ngr 14. Laho Mandi 15. Naraina Vihar 16. Mp Depot 17. Beri Wala Bagh 18. Hn Clock Tower.",6,30.5,12,20,12,8
322,I.S.B.T.,Mayur Vihar Ph-1 Terminal,"1. Isbt 2. Red Fort 3. Delhi Gate 4. Ito(Agcr) 5. Rainywell  6. Mother Dairy 7.  Balco Apptt 8. H.P.Depot 9. Nhw Xing
10. Vinod Ngr 11. Kalyan Puri 12. 13‐Block Trilok Puri 13. Mayur Vihar Ph‐1 Terminal.",4,22.9,15,12,7,5
324,Mori Gate (T),Kalyan Puri,"1. Mori Gate (T) 2. Red Fort 3. Delhi Gate 4. Ito(Agcr)5. Rainy Well 6. Mother Dairy 7. Pushta Xing 8. Mayur Vihar P‐
I  9. 13‐ Blk Trilok Puri 10. Kalyan Puri",0,17,15,9,5,4
346,Shivaji Stm.,NOIDA Sec.34,1.Shivaji  Stadium  2.  Mandi  House  3.  Pragati  Maidan  4.  Road  Bridge  5.  Pusta  Xing  6.  Mayur  Vihar  Ph‐I  Xing  7. Hindon Regulator 8. Naya Bans 9. Noida Sec‐28/2910. Noida Sec‐37 Noida Sec‐36 11. Noida Sec‐34.,3,23.3,15,12,7,5
347,I.S.B.T.,NOIDA SEC.34,1. Isbt 2. Red Fort 3. Delhi Gate 4. Ito(Agcr) 5. Rainy Well 6. Mother Dairy 7. Pushta Xing 8. Mayur Vihar Xing 9. Hindon Regulator 10. Naya Bans 11. Staff Qrs.12. Sec.21/25 13. Noida Sec.37 14. Noida Sec36 15. Sector‐34.Noida,23,28,5,45,27,18
355,Anand Parbat,NOIDA Sec-32,"1. Anand Parbat 2. D.B.Gupta Mkt 3. Ps Pahar Ganj 4. New Dly.Rly.Stn‐I 5. Mandi House 6. Pragati Maidan7. Road Bridge 8. Pushta Xing 9. Mayur Vihar‐I Xing10. Hindon Regulator11. Naya Bans 12. Noida Sec.‐2713. O‐Blk Sec‐12
14.  Sec‐22 H Block  15. Noida Sec‐32",24,26,5,42,25,17
362,Mori Gate (T),Vasundhra Enclave,"1. Mori Gate (T) 2. Red Fort 3. Delhi Gate 4. Ito(Agcr)5. Rainy Well 6. Mother Dairy 7.Pusta Xing 8. Mayur Vihar Ph‐I Xing   9.  Hindon  Regulator  10.  Naya  Bans  11.   Noida  Sec.‐27.  12.  Noida  O‐Block13.  Jhund  Pura  14.  Vasundhara
Enclave",4,23.3,15,12,7,5
393,Noida sec-62,"New delhi rly.
Stn - I","1. New delhi rly . Stn‐I 2. Mandihouse 3. Pragati maidan 4. Road bridge east 5. Noida crossing 6. Mayur vihar ph‐I crossing 7.Hindon Regulator 8.Nayan bans 9. Noida sec ‐27 10.  O blk.Noida sec 12/22 11.H blk Noida sec‐22 12.
Khora cly. 13. Mamura village 14. Noida sec‐62",0,24,15,13,8,5
741,Jyonti Shivalaya,Manglapuri,"Manglapuri,  Dabri  Vill,  C-1  Janakpuri,  Uttam  Ngr,  Distt  Centre,  Mjr  BS  Ngr,  Sunder  Vihar,  PG  Depot,
Mangolpur  Sch,  Mangolpur  Khurd,  Pooth  Kalan,  Begumpur,  Karala,  Kanjhawala,  Ladpur,  Jyonti  Sch, (Shivalaya)",0,31.3,15,17,10,7
861,Tilak Nagar,Jahangir Puri,"1   Tilak Ngr 2   Mukherji Park 3   Raja  Garden 4   P   Bagh Club 5   P   Bagh T   6   W  P   Depot 7   Ashok Vihar Xing 8
Adrash Ngr 9   Jahangir Puri E‐Blk",15,16.5,5,26,16,10
879,Shahbad Dairy,Janakpuri D Block,"1.  Shahbad  Dairy  2.  Sec-16  Rohini  3.  Pkt  D-2/15  Rohini  4.Vidhya  Vihar  Marg  5.  Sec-7  &  8  Xing  6.  C  Block Saraswati Vihar  7.  Mangol-pur  School  8.  Peeragarhi  Depot  9.  Sunder  Vihar  10.  Maj.  BS  Ngr  11.  Distt  Centre12.
Uttam Ngr Xing 13.Janakpuri C-1 14. DESU Cly 15. D Block Janakpuri",34,28.4,5,45,27,18
881,Madhu Vihar,Mukherji Ngr Bandh,"Madhu  Vihar,  Dwaraka  Xing,  Dabri  Vill,  C-1  Janakpuri,  Uttam  Ngr,  Distt  Centre,  Maj  BS  Marg,  Sunder  Vihar, Peeragarhi Depot, Mangolpur Sch, C Block Sarswati Vihar, JD Block Pitampura, Wazirpur Depot, Ashok Vihar Xing,
Model Town-2, GTB Ngr, Mukherji Ngr",0,30,15,16,10,6
910,Shivaji Stadium,Nangloi Syad,1   Shivaji Std   2   Ken   T   3   Upper Ridge Rd   4   Shankar Rd 5   W   Patel Ngr 6   Karam Pura T  7   P  Bagh T   8 Syndicate Bank9   Rd  ‐No   29/30 Xing 10   Paschim Vihar Water Tank 11   Guru Hari Kishan Ngr 12   Nangloi Syed,17,22,10,18,11,7
930,Nehru Place (T),WEST ENCLAVE,"1    Nehru  Place  2    Sant Ngr     3    Mool Chand4. Panth  Ngr     5    Golf Culb   6    Baroda  House /India  Gate7    Kirshi Bhawan  8   Kend   (T)  9   Ridge Road 10   Shankar Road  11   West Patel Ngr    12   Karam Pura (T) 13   Punjabi Bagh
(T)  14   Mohindera Park  15  Kesav Mahavidyalia 16  West Enclave",0,33.6,15,18,11,7
937,Railway Station,Sultan Puri,"1  Rly Station   2   Mori Gate/ Isbt 3   Ice Factory 4   Kishan Ganj Mkt    5   Daya Basti 6   Zakhira 7   P   Bagh 8   Madi
Pur Jj Cly 9   Peera Garhi 10  B‐Block Mangol Puri 11  Q‐Block Nangloi 12   Sultan Puri",14,22.2,10,18,11,7
939,Anand Vihar(ISBT),Mangolpuri Q- Blk,"1   Anand Vihar(Isbt)  2   Surya Ngr  3   Dilshad Gdn Gt Road,4   Shahdara  5   Seelampur  6   Shastri Park  7  Isbt 8 Ice Factory 9   Guru Govind Sg  Marg  10   Sarai Rohilla  11   Zakhira  12   P  B  (T) 13 Madipur Jj Cly,14  Peera Garhi
15   Mangol Puri B‐Block,16   Q‐Blk  Mangol Puri",14,32.7,10,26,16,10
940,Shivaji Stadium,Mangol Puri Q- Blk,"1   Shivaji Std    2   Kendrya (T)  3   Ridge Road 4   Shankar Rd    5   West Patel Ngr    6   Karampur T  7   Punjabi Bagh
(T)  8   Madi Pur Jj Cly    9   Peera Garhi10  B‐Block Mangol Puri  11   Q‐ Blk Mangol Puri",10,21.4,12,14,9,5
943,Shakar Pur,DH-Blk SultanPuri,"1    Shakar  Pur  2    Rainy  Well  3    I   T   O  4    Govt   Press  5    Sucheta  Kirplani  Hosp    6    Punchkuain  Road  7    Sadhu Vaswani  Mg    8    Tele   Exchange  9    W   Patel  Ngr10    Karam  Pura  Trml    11    P   Bagh  (T)  12    Madi  Pur  Jj  Cly  13
Peera Garhi 14   B‐Blk Mangol Puri15   Q‐Blk  Mangol Puri 16   Gh‐Blk Sultan Puri",8,29.6,12,20,12,8
954,Karol Bagh(T),Sultan Puri C- 9/36,"1   Karol Bagh (T) 2   G  G  Singh Mg   3   Sarai Rohilla 4   Zakhira 5   P  Bagh (T) 6   Madi Pur Jj Cly 7   Peera Garhi 8
B‐Block Mangol Puri 9    Q‐Blk  Nangloi 10 Sultan Puri 11   C‐9/36 Sultan Puri",13,18.6,10,15,9,6
955,Sultan Puri,N  D  Rly STN,"1    Nd  Rly  Station  Gate  No‐1   2    Ps  Pahar  Ganj3    D   B   Gupta  Mkt     4    Sarai  Rohila   5   Zakhira6    P    Bagh  (T)   7
Madi Pur Jj Cly   8   Peera Garhi 9   Mangol Puri D‐Block  10   Mangol Puri Q Blk  11   Sultan Puri",0,17.2,15,9,6,3
970,J  L  N  Stadium,Awantika Rohini,"1   J  L  N  Stadium (C  G  O  Complex) 2   Lodhi Cly 3   Prithvi Raj Rd   4   Nirman Bhawan 5 Kirshi Bhwan  6   Kend
(T)  7    Ridge  Road  8   Shankar  Rd    9      Patel Ngr   10    Karam  Pura  (T)  11    P   Bagh  (T)  12    Mahindra  Park13    J   D Block  Pitam  Pura  14    Sector‐8  Xing  15    Rohini  Sector  3,4,5,6   16    Avantika Rohini   (  Run  From  South  And  Road Take Right Turn Toward Prithiraj Raod Then Arvindo Marg , Safdarjund Mothersa , L/T To Lodhi Road / Mausam Bhawan And Then On To Serial Route Of The Direction )",11,31.2,10,25,15,10
973,Nangloi,Indira Puri(Loni),1   Indra Puri (Loni)  2   P  S Indra Puri  3   Johri Pur Xing4   C‐4 Yamuna Vihar  5   Bhajan Pura  6  Gavri Extn   (Pusta‐ 5)7   New Usman Pur  (Pusta No‐1) 8.Suam Giri Mandir 9   I  S  B  T  10   Ice Factory 11   Kishan Ganj Mkt 12   Daya Basti  13   Zakhira  14   Punj Abi Bagh 15   Madi Pur Jj Cly    16   Peera Garhi  17   Jawala Puri18   Nangloi,0,35.2,15,19,11,8
992,Sultanpuri,Indrapuri Loni.,"1. Indra Puri 2. P.S.Indra Puri 3. Johri Pur Xing 4 Jyoti Clt.5. Babar Pur Extn. 6. Seelam Pur 7. Shyam Giri Mandir8.
Isbt  9.  Ice  Factory  10  Kishan  Ganj  Mkt.  11.  Daya  Basti12.  Zakhira  13.  P.Bagh  (T)  14.  Madi  Pur  Jj  Cly.  15.  Peera Garhi16. B.Blk Mangol Puri Xing 17. Q‐Blk Mangol Puri 18. Sultan Puri",14,35.2,10,28,17,11
994,Shahbad Dairy,JLN Stadium,1. J.L.N.Stadium 2. Lodhi Rd. 3. Prithvi Raj Rd.4. Nirman Bhawan 5. Krishi Bhawan 6. Kend.Terminal7. Ridge Rd. 8. Shankar Rd. 9. W.Patel Ngr.10. Karam Pura (T) 11. P.Bagh (T0 12. W.P.Depot13. J.D.Blk.Pitam Pura 14. Sec‐7 & 8 Xing15. Vidhya Vihar Mg.Xing 16. Pocket ‐2 D/15 17. Rohini Sec‐16 18. Shahbad Daulat Pur19. Shahbad Dairy,0,32,15,17,10,7
GL-90,Rohini Sec-16,Kendriya Terminal,1. Rohini Sec-16 2. Pkt D-2/15 Rohini 3. Vidhya Vihar Marg 4.Rohini Sec-7 & 8 Xing 5. KD Block Ppura 6. Wazirpur Depot 7. PB (T) 8. Zakhira 9. Sarai Rohilla 10. DB Gupta Mkt 11. PS P Ganj 12. ND Rly Stn 13. Regal 14. Kend (T),2,27.5,15,15,9,6
